                mintPublicKey                 |   name    | order  |                firstCreatorId                
----------------------------------------------+-----------+--------+----------------------------------------------
 6mhautdCy9QjPoDWYuud7MA3QfPn8dzhegMBKXFjNsBk | goosolana |  39528 | FxnwhTYMSPdNsTVVFiVL6VV7QaZPEWva9bmiAnrK76fx
 C94JDMtvZ2nXwtjGdkPDwGSMGbE1oXZbeiMvcZN7ZUnP | goosolana |  69538 | JDkXJrzLYovHucoK7sajr2owVJw2R7dncv6E1Ub5vrRb
 2DP88isWjcXFD4aYQt5xvQVtSdMaBvrpWNQxXVBHgxXi | goosolana |  43606 | FrEqiXgtJ4ixH8z8TG7csKMKDEz4WNWwQKJa4Pxg3Svq
 3QFF251VwyfeA3hfqxazuhrRyspx7WKguMdhWtHbBCYW | goosolana |  68382 | 9DD1jKs5gHvyb5rPhUVfdpBFdrfUnE1tekBZXFVoh1pg
 2UFo7s8CuswoGoa2kcNG7m7cuHe6HfrfGuNV97aoTSS5 | goosolana |  44607 | CDF4cfZngz9ZxbyddszMeJG8xBihXeDrs8GBtVitdfd3
 HpjoDgv32G8bFv7DZ7Ts77MeaaFdf4nNNfYk17JnUzCR | goosolana |  44086 | 8FpGsg6ZoHkrU9P4KhD8KP1Snwitkixov6NMNN6nTHoM
 4CVXexbN989yfVL4fTrV72YbHWJhx7EbU6qvtmNegW5J | goosolana |  70440 | EYPZ21Ce9hCMHL17xsJEr2H8w6Zua1AiPxwqM4QNArcM
 4dbgVvfXzVWB5CE2fSgokug9PGCfxoyqA4kM6srgUgkV | goosolana |  50823 | 5BqArYsHWwesc6xpp9Mn4vgoH5EmPLMvorc5om2c39FE
 Hp3cEYfUkM1ULPFrrLXHaVNL2h7CHbvMS2RzQHffw1ZC | goosolana |  42649 | DKCh7hxMYY8uR8LucVQehw7pRWBERYxc1CxeUHFGbnWj
 8E7d39UBAK8AVB2W7Btq2hDjnkhBNYXAJJEk9FrxqcLB | goosolana |  43663 | GZpqSotB6RKtcRvAFo4yDRmf443GwK8imzN6dnBzZStj
 Ejv9chuW9Vz2QcDxcJau37NvzD65QK7KZ4DcetjuN5Ct | goosolana |  48429 | 8jJk1FBkqnKmjf2fnGXYfbbdViea2RhQy9nXFLp2vjvo
 CizjEqTrXtvNcsUq74Gv5UbUgkHrmRgwc3LMQh53TvEV | goosolana |  46228 | Br8p7s1Qrw4eBL9aspoy1pTSzr8gCGL7S9z28aPAdY1U
 ADKzmVtupjQmqV3mWCmAjyAFiNJ7GGLvvKcvbfV8NPQR | goosolana |  69937 | D2nhq6isa7TQEX9pq1N1myot2cfbJiLwYqHZEdXQMzGm
 8VQjBMhXuZ5Qbo8vwQTFRDYmvZG4MXA9RPg36growDo6 | goosolana |  49016 | AGsN2KFvxbEmrFLJufBfTScPgRoWbxi6AueVXCNN3NeP
 9RkQ6EYXfqr5iB4sNH5C2RfaZSxu6mvx1tz2FSHNeczm | goosolana |  49899 | DqtMzMnvZPpNLmaE6owh459AmqpEioNS1KkErT2Pc76P
 ChYgbPNUKpPn8uBcQCT1H4s82RNRTnpExr8g1F2pFEgG | goosolana |  39169 | Ftu8jZnYX7VjYKMoDxMiyWrK6Sw8X6vY52EeWmuWcfrz
 CToQWvg66RoC7gZx8kFHRH4yFLmMZDLLWLDvnnuznrVG | goosolana |  44211 | BMqvRDaxtgJe4ruGdoo4GnQeukCugH6zR2JbCFK5RYi5
 BFwxQ9R4tGzGB1o5EhcNySVbDMEUY1FkGTLxum4DjqNF | goosolana |  70140 | CYeD18r4RbANMz3nT9YucqUGKdxHRRavoX6J6oJFsp93
 226rB9266fXtSuhG2EeN5nBwGywAzyJLAjDwz1idcKsY | goosolana |  69751 | DUiVQCEJXPH6AQsD9Wee3xdf3H5vznPutBY9sYs62S8v
 Bb7MF1mBenQfuvZKKNo4qK2ykUttdGLXMCWitJ9UnbG5 | goosolana |  45854 | DTsfDCDshcZKehaW6o6JNLxQWkLUyZpGH6xmbtkmy6NR
 G5uQjXCykXx7dRmCAPZrZ7Du7KEzk64uL3VLDoa7f78Y | goosolana |  42255 | GcNMje3koKpGXTm4dnrAXvmWWBtuH5KoLkuGrFvanBLN
 FTre3BppLCJDXJUnuNmHsSB3FapCS7FGfkJAprenVSnD | goosolana |  43336 | 35TR82x1yZHQUwrdS14VjF8PWETSGh2w9qB3VfPR8KJi
 8rg4B3f65C8kgNMPnz1zaxqnhdWi3LtpV6NZCkGeB2bj | goosolana |  46022 | 7CnMvu7mmJMQVBYQpV7HygyE89Zs3gw1uaYL1zxtX9Yv
 C3VNNNEwyjfaWuJTe4k49oG2fUHB4sivnJS1hhBw3ESq | goosolana |  51475 | 3knfqEkjnmF28HA1EneMFammDzGQeBrpU6K4B4f9V88o
 Hrsc9in89EKeq5KzjhW88HftSxfCHWYtSGL31uuEPxFp | goosolana |  44109 | BNzV1SqW9thB5tn76CYcHQC4WCVdAJM7btv6EAiQkaso
 H2By8hSS2WRc1MWSF7nQzLqFwPQUn45doDYZDYoUCgF8 | goosolana |  45555 | DPydWkdoSyPwZDqK3PayQN9k2JLeL8xTtoQ6ZpsscCVC
 HeQFjUVKMrStpJSuVvRpyarRe76b5MR85wMBcgefZqiN | goosolana |  48514 | EsMDFQou5bdVZBjpbHMxJaWk9FccDPtYrfAWSEpfPki8
 BffBao11JZ1pxc4dGPSmGbwy2rKKzSVaj1C8sEZwsLA8 | goosolana |  42358 | 2qADptB8YhHkYJ5uqHn1Mnk6EVaPvTpPF7D7Sjfp2t7e
 BWKcGjn9y38ZJV3zVdSAcqSXe3nK9zEVciFTFe7Gcfdr | goosolana |  40098 | B3r1y7Ngjk1LTJcXCqvhDz9PSkWQ1HbVvt6nLoSmoSe7
 HdeA3j4U2Fs1djktU755WiPHTadAEWo4SRqhsFPsw8Qk | goosolana |  39582 | DbeGAZ1mXJesNFrnCcpMBm71goy6CwfmrL1KEn4218rp
 BzQnoDsVtK3wQRS2nfkcjxmm4sc9a17SwMzYeLKSseD3 | goosolana |  49346 | FZLnYYwCDR5tdsZirMmzqfMENwp8d7Hczgc6mnB5VJLM
 DRsbPLfNgyAmNpUfd7fEgMLyptBiJtxTbiRnDUSTYbf8 | goosolana |  39130 | 8fa1P4xLyaM8TMH9ci7nNz1SYtgekPqVK99ySPZWMGWj
 Ek8ph3LM8A8fHx2EfyQ1CaoceJGiuunfRbCJha1rCCjq | goosolana |  39141 | Gviz7ywL33bW82UKd6VKNSLxKq7MffTDQ3YDGzza2Bz4
